timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2017-10-21 21:51:55.956		start_recording
2017-10-21 21:51:56.720	1060395824	False	7	554.7657	711.6282	555.7125	686.3944	18.53895	602.425	739.7729	603.2784	707.8732	18.4323	0.5092	0.4649	507.1064	683.4834	502.9834	683.8427	18.6456	0.6527	0.4715
2017-10-21 21:51:56.754	1060395858	False	7	555.2578	678.9178	553.1865	687.4801	18.3853	596.3992	681.2692	600.9742	699.0217	18.3575	0.5094	0.4646	514.1163	676.5666	505.8037	682.0233	18.4131	0.6527	0.4715
2017-10-21 21:51:56.787	1060395891	False	7	654.053	592.5845	571.5375	684.3435	18.4041	700.357	603.7241	626.0319	674.991	18.0871	0.5103	0.464	607.749	581.4449	526.5317	661.601	18.7211	0.6536	0.4707
2017-10-21 21:51:56.820	1060395924	False	7	670.041	539.9246	586.5574	676.3694	18.2281	718.9562	528.5599	645.0456	645.1154	17.6041	0.5105	0.4636	621.1259	551.2893	621.1259	551.2893	18.8521	0.6537	0.4705
2017-10-21 21:51:56.853	1060395957	False	7	649.2428	581.9958	625.09	515.1512	18.28475	673.3955	648.8403	673.3955	648.8403	17.9945	0.5103	0.4641	625.09	515.1512	625.09	515.1512	18.575	0.6537	0.4704
2017-10-21 21:51:56.887	1060395991	False	7	666.8327	567.4854	678.3713	588.0742	18.0189	709.2397	634.207	709.2397	634.207	17.939	0.5105	0.4642	624.4257	500.7637	624.7574	507.9483	18.0988	0.6538	0.4703
2017-10-21 21:51:56.920	1060396024	False	7	662.2956	563.1239	673.7766	584.5	18.37175	676.7485	625.2759	692.9734	629.7358	18.3283	0.5104	0.4641	647.8427	500.9719	632.4847	505.6008	18.4152	0.654	0.4705
2017-10-21 21:51:56.953	1060396057	False	7	659.1385	526.1466	668.4587	572.1449	17.77065	694.6528	527.6998	693.5081	595.5717	17.4699	0.5106	0.4637	623.6243	524.5933	630.2788	510.3733	18.0714	0.6539	0.4707
2017-10-21 21:51:56.987	1060396091	False	7	659.9237	547.8772	667.2388	567.5767	18.24755	688.4605	572.4131	692.2165	589.5947	18.142	0.5107	0.4639	631.3868	523.3413	630.5132	513.0215	18.3531	0.6541	0.4708
2017-10-21 21:51:57.020	1060396124	False	7	669.1599	590.1367	668.1797	567.373	18.34315	717.6459	602.2897	697.3581	592.0294	18.0509	0.5108	0.4641	620.6739	577.9836	628.8445	524.1364	18.6354	0.6542	0.4711
2017-10-21 21:51:57.053	1060396157	True	7	829.6295	605.5313	667.2848	565.93	16.41325	884.2142	593.9063	884.2142	593.9063	15.5203	0.5124	0.4642	775.0447	617.1562	775.0447	617.1562	17.3062	0.6556	0.4714
2017-10-21 21:51:57.087	1060396191	False	7	864.9677	631.6785	864.9677	631.6785	16.7459	896.6901	646.8414	896.6901	646.8414	16.4097	0.5124	0.4644	833.2453	616.5155	833.2453	616.5155	17.0821	0.6559	0.4714
2017-10-21 21:51:57.120	1060396224	False	7	861.3441	637.8658	863.1536	634.7761	16.9192	903.9183	644.063	900.3088	645.4504	16.2272	0.5124	0.4644	818.7698	631.6686	825.9983	624.1017	17.6112	0.6559	0.4715
