timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2017-10-21 21:58:23.860	1060782920	image_on
MSG	2017-10-21 21:58:23.860	1060782920	bikinishop.jpg
MSG	2017-10-21 21:58:23.860	1060782920	start_recording
2017-10-21 21:58:24.583	1060783687	True	7	510.0463	452.9307	527.234	469.9858	15.9422	511.2944	493.7343	524.5672	472.7734	15.704	0.4631	0.497	508.7983	412.1271	512.9766	430.6027	16.1804	0.5994	0.5104
2017-10-21 21:58:24.616	1060783720	True	7	505.4486	485.5187	526.1697	468.6777	16.21665	506.1418	491.3438	522.7015	473.9109	15.6814	0.4632	0.4969	504.7554	479.6937	511.7587	437.8628	16.7519	0.5994	0.5107
2017-10-21 21:58:24.649	1060783753	True	7	494.1657	468.1711	524.9277	467.3887	15.85925	503.9509	489.9488	520.8845	474.8237	15.389	0.4631	0.497	484.3805	446.3936	508.1634	439.0837	16.3295	0.5994	0.5106
2017-10-21 21:58:24.682	1060783786	True	7	510.3123	445.6072	523.7774	466.0932	15.74205	524.7827	469.9295	520.9898	474.0276	15.4699	0.4632	0.4969	495.8419	421.2849	506.6418	437.1027	16.0142	0.5995	0.5106
2017-10-21 21:58:24.716	1060783820	True	7	534.2514	482.6043	523.0356	465.4883	15.759	534.0228	531.4249	521.823	478.1559	15.3796	0.4633	0.4973	534.48	433.7837	509.5374	436.8084	16.1384	0.5997	0.5107
2017-10-21 21:58:24.749	1060783853	True	7	494.6626	444.1787	522.025	464.1657	16.23475	483.822	417.0849	518.8362	473.3902	16.291	0.4632	0.4968	505.5031	471.2725	509.1149	440.2698	16.1785	0.5996	0.5109
2017-10-21 21:58:24.782	1060783886	True	7	524.7232	455.4961	521.3236	463.4576	15.47645	545.4437	431.8908	520.54	470.0892	15.313	0.4635	0.4971	504.0027	479.1013	508.6139	443.9727	15.6399	0.5997	0.5109
2017-10-21 21:58:24.816	1060783920	True	7	492.1954	427.2269	520.3097	461.8864	16.2164	458.2945	390.5385	458.2945	390.5385	16.1607	0.4632	0.4968	526.0964	463.9153	510.094	445.8968	16.2721	0.5998	0.5109
2017-10-21 21:58:24.849	1060783953	True	7	527.5751	456.4355	519.8398	461.7858	15.8417	518.0079	472.0189	518.0079	472.0189	15.6681	0.4633	0.4973	537.1422	440.8521	512.3227	445.7046	16.0153	0.5998	0.5107
2017-10-21 21:58:24.882	1060783986	True	7	536.868	406.2186	519.57	461.8372	15.61095	518.9712	459.8971	518.4901	465.9503	15.886	0.4634	0.4972	554.7649	352.5402	515.7143	438.6058	15.3359	0.5999	0.5103
2017-10-21 21:58:24.915	1060784019	True	7	669.5966	407.4013	522.9832	460.637	15.6277	679.5641	409.7123	572.4106	447.1143	15.5053	0.4648	0.4971	659.6291	405.0902	659.6291	405.0902	15.7501	0.6011	0.5106
2017-10-21 21:58:24.949	1060784053	False	7	687.6849	400.1974	654.8721	397.8606	15.06915	686.4396	431.3032	601.3781	443.0469	15.2933	0.4648	0.4971	688.9302	369.0917	688.9302	369.0917	14.845	0.6012	0.5104
